city,date,pm2_5,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,AQI,temperature_2m,humidity,wind_speed,precipitation
Varanasi,2025-04-27,32.32083333333333,42.416666666666664,119.08333333333333,10.825,11.754166666666666,382.25,132.4005781767555,33.791666666666664,24.125,12.058333333333334,0.0
Varanasi,2025-04-28,37.88333333333333,52.59583333333334,125.95833333333333,12.858333333333334,14.8375,403.375,153.4153258904417,30.504166666666666,37.041666666666664,9.920833333333334,0.012499999999999999
Varanasi,2025-04-29,39.87916666666666,49.0125,157.95833333333334,7.541666666666667,16.995833333333334,441.6666666666667,194.73358970453853,28.945833333333333,50.916666666666664,12.625,0.029166666666666664
Varanasi,2025-04-30,39.56666666666666,45.045833333333334,163.08333333333334,8.004166666666666,19.90416666666667,437.125,200.56679514515335,29.3,49.0,11.7125,0.0
Varanasi,2025-05-01,47.43333333333334,52.59166666666667,166.45833333333334,7.895833333333333,25.27916666666667,484.5,205.49482278560103,28.48333333333333,54.125,12.2875,0.2375
Varanasi,2025-05-02,43.895833333333336,49.06666666666666,145.95833333333334,9.1375,17.375,463.25,179.49181974741677,30.237499999999997,42.166666666666664,9.775,0.0
Varanasi,2025-05-03,36.86666666666667,52.49166666666667,136.83333333333334,13.520833333333334,15.2625,472.75,173.50488828592918,31.529166666666665,41.458333333333336,7.604166666666667,0.029166666666666664
Varanasi,2025-05-04,42.15,68.15833333333333,134.29166666666666,15.666666666666666,17.95,584.75,178.6466761426452,31.145833333333332,47.166666666666664,7.654166666666666,0.0
Varanasi,2025-05-05,43.93333333333334,57.47083333333334,136.29166666666666,13.0375,16.875,583.1666666666666,167.92603665144748,30.604166666666668,49.5,7.258333333333333,0.05416666666666667
Varanasi,2025-05-06,36.2,53.4875,116.83333333333333,16.758333333333333,13.5875,457.7083333333333,147.4912488288003,29.708333333333332,55.25,5.579166666666667,0.01666666666666667
Varanasi,2025-05-07,45.525,64.04583333333333,141.91666666666666,10.65,16.79583333333333,494.875,169.7925312874269,31.6,49.0,7.3125,0.0
Varanasi,2025-05-08,38.27916666666666,62.0125,111.75,16.458333333333332,14.850000000000001,477.7083333333333,127.85734688625836,33.5625,35.833333333333336,7.495833333333333,0.0
Varanasi,2025-05-09,37.016666666666666,59.175,117.75,18.099999999999998,13.8625,365.5,149.67985767449227,34.00833333333333,36.5,7.35,0.0125
Varanasi,2025-05-10,31.95416666666667,44.458333333333336,114.04166666666667,17.95416666666667,16.3,391.4583333333333,138.9272990155324,34.50833333333333,36.875,7.879166666666667,0.0
Varanasi,2025-05-11,36.02916666666666,52.229166666666664,103.83333333333333,16.5375,12.4875,567.875,121.07757119574539,33.93333333333334,40.833333333333336,9.208333333333334,0.029166666666666664
Varanasi,2025-05-12,41.4625,101.79166666666667,128.5,10.970833333333333,13.5,500.7083333333333,152.4189078484706,34.7125,36.708333333333336,9.004166666666666,0.0
Varanasi,2025-05-13,52.03333333333334,196.45416666666665,121.58333333333333,15.679166666666665,16.6875,544.5416666666666,190.16324392494647,35.5375,28.208333333333332,9.041666666666666,0.0
Varanasi,2025-05-14,48.74583333333334,176.55416666666665,108.91666666666667,16.870833333333334,15.162500000000001,543.4583333333334,174.09283398175796,35.96666666666666,26.625,7.4375,0.0
Varanasi,2025-05-15,51.325,199.7,121.75,18.241666666666667,16.475,507.7916666666667,190.18594925475873,36.24166666666667,23.5,6.7125,0.0
Varanasi,2025-05-16,44.045833333333334,131.27916666666667,121.20833333333333,19.0375,15.55,560.375,167.930749967252,36.1,27.125,8.25,0.0
Varanasi,2025-05-17,47.25833333333333,100.53333333333333,133.33333333333334,13.925,14.133333333333335,531.7083333333334,168.45676080294297,33.95,46.041666666666664,9.1875,0.0
Varanasi,2025-05-18,48.63333333333333,92.39166666666667,148.25,10.820833333333335,17.633333333333333,438.2916666666667,181.93680342401026,34.670833333333334,43.375,9.9125,0.0
Varanasi,2025-05-19,64.91666666666667,95.325,162.91666666666666,8.8,18.325,440.5416666666667,204.2911033226387,33.420833333333334,51.125,10.708333333333334,0.0
Varanasi,2025-05-20,63.287499999999994,87.32916666666667,154.29166666666666,9.908333333333333,17.95,447.875,204.1465410894157,34.03333333333334,53.5,9.3125,0.0
Varanasi,2025-05-21,50.25,63.34166666666666,150.29166666666666,8.708333333333334,19.51666666666667,454.5833333333333,185.857526407372,33.666666666666664,52.666666666666664,10.041666666666666,0.0
Varanasi,2025-05-22,42.77916666666666,63.34166666666666,135.70833333333334,10.729166666666666,16.566666666666666,436.0,165.7645964979681,31.816666666666666,54.041666666666664,8.225,0.0
Varanasi,2025-05-23,48.17916666666667,76.61666666666667,125.79166666666667,15.754166666666665,19.583333333333332,489.0833333333333,158.7092338374441,31.154166666666665,61.625,6.625,0.041666666666666664
Varanasi,2025-05-24,48.61666666666667,62.95416666666666,126.04166666666667,9.570833333333335,14.962499999999999,469.25,146.57021705134804,29.575,68.375,8.8875,0.1
Varanasi,2025-05-25,40.68333333333334,46.025,111.75,9.416666666666666,11.020833333333334,383.5833333333333,122.97842468691029,31.779166666666665,59.416666666666664,10.75,0.0
Varanasi,2025-05-26,23.65833333333333,23.90833333333333,102.0,9.1625,10.425,339.8333333333333,110.57605292503003,32.05416666666667,61.416666666666664,11.125,0.03333333333333334
Varanasi,2025-05-27,17.60833333333333,17.75,99.75,8.729166666666666,11.591666666666667,313.125,106.21766169154229,32.18333333333334,62.041666666666664,10.708333333333334,0.0041666666666666675
Varanasi,2025-05-28,23.275,23.5125,100.75,9.933333333333334,11.016666666666666,313.25,108.51316334991708,34.016666666666666,52.958333333333336,9.516666666666666,0.0041666666666666675
Varanasi,2025-05-29,29.825000000000003,30.229166666666668,113.66666666666667,13.916666666666666,14.095833333333333,354.5833333333333,127.22360247832457,34.15416666666666,54.708333333333336,7.208333333333333,0.020833333333333332
Varanasi,2025-05-30,38.1375,44.733333333333334,114.58333333333333,13.925,13.754166666666666,425.7916666666667,136.19987826121383,34.608333333333334,53.375,6.7375,0.0
Varanasi,2025-05-31,59.55833333333333,121.77916666666668,103.33333333333333,20.925,17.01666666666667,393.375,140.10696228570887,34.391666666666666,51.041666666666664,10.3375,0.03333333333333333
Varanasi,2025-06-01,47.59166666666666,119.57499999999999,104.04166666666667,12.3375,12.716666666666667,255.58333333333334,123.14197083317502,33.28333333333334,50.375,11.645833333333334,0.02916666666666667
Varanasi,2025-06-02,38.25833333333333,83.50416666666668,107.5,10.387500000000001,12.095833333333333,341.25,118.48902293381508,34.44166666666666,36.958333333333336,11.529166666666665,0.0
